date,time,n_input,num_workerprocess,num_inputList,plot,plot_time,process_time,pi_result,note
16-03-2020,22:46:13,10000000,12,24,No,,1.213060141,3.142541886,testing without plot
16-03-2020,22:52:58,10000000,12,24,No,,1.1632061,3.142170686,testing without plot
16-03-2020,22:56:11,100,1,1,Yes,0.091546535,0.116157055,3.08,testing plot
16-03-2020,22:56:16,10000,1,1,Yes,0.137663364,0.116112709,3.156,testing plot
16-03-2020,22:57:37,1000000,1,1,Yes,5.470365763,1.053063154,3.140776,testing plot
16-03-2020,22:59:50,10000000,1,1,Yes,54.4633081,8.933538675,3.1421788,testing plot
16-03-2020,23:13:02,100000000,1,1,Yes,547.4301839,89.9356873,3.14163704,testing plot
16-03-2020,23:18:09,200000000,10,10,No,,20.947023630142212,3.1416318,Stress Test 10 v 4 processes
16-03-2020,23:20:08,200000000,10,10,No,,21.143900394439697,3.14161586,Stress Test 10 v 4 processes
16-03-2020,23:21:01,200000000,10,10,No,,21.691030263900757,3.14157836,Stress Test 10 v 4 processes
16-03-2020,23:21:54,200000000,10,10,No,,20.392054557800293,3.14164338,Stress Test 10 v 4 processes
16-03-2020,23:23:02,200000000,10,20,No,,19.99124312400818,3.14147538,Stress Test 10 v 4 processes
16-03-2020,23:24:54,200000000,10,20,No,,21.26423454284668,3.14172836,Stress Test 10 v 4 processes
16-03-2020,23:26:27,200000000,4,4,No,,31.669004201889038,3.14153348,Stress Test 10 v 4 processes
16-03-2020,23:27:07,200000000,4,4,No,,29.04837465286255,3.14157698,Stress Test 10 v 4 processes
16-03-2020,23:27:56,200000000,4,16,No,,33.978971004486084,3.14155972,Stress Test 10 v 4 processes
16-03-2020,23:28:35,200000000,4,16,No,,28.258825302124023,3.14134992,Stress Test 10 v 4 processes
16-03-2020,23:30:48,200000000,12,12,No,,20.75738024711609,3.141439737171205,Stress Test 12 processes
16-03-2020,23:31:31,200000000,12,12,No,,19.510860204696655,3.141489897170202,Stress Test 12 processes
16-03-2020,23:32:33,200000000,12,100,No,,19.682828187942505,3.14153536,Stress Test 12 processes
16-03-2020,23:33:34,200000000,12,100,No,,19.497645378112793,3.14162476,Stress Test 12 processes
16-03-2020,23:34:11,200000000,50,100,No,,19.96836495399475,3.14148552,Stress Test
16-03-2020,23:34:46,200000000,50,100,No,,21.20086359977722,3.14175288,Stress Test
16-03-2020,23:35:31,200000000,60,120,No,,19.995347023010254,3.141685031662994,Stress Test
16-03-2020,23:35:59,200000000,60,120,No,,20.963117361068726,3.1416429916714015,Stress Test
16-03-2020,23:39:48,200000000,10,10,No,,21.501872777938843,3.14169834,Stress Test
16-03-2020,23:40:23,200000000,10,10,No,,19.894694089889526,3.14140878,Stress Test
16-03-2020,23:41:18,200000000,10,10,No,,19.773878812789917,3.1417043,Stress Test
16-03-2020,23:42:38,200000000,10,10,No,,21.34249711036682,3.14159976,Stress Test
16-03-2020,23:49:21,200000000,1,1,No,,109.74011468887329,3.1412291,Stress Test
16-03-2020,23:55:34,200000000,1,1,No,,105.26360416412354,3.14147134,Stress Test
16-03-2020,23:57:47,200000000,1,1,No,,105.66212439537048,3.14158266,Stress Test
17-03-2020,00:31:13,200000000,1,1,No,,101.14876389503479,3.1416838,Stress Test
17-03-2020,14:40:35,10,1,1,No,,0.25249433517456055,3.2,Stress Test
17-03-2020,14:41:05,1000,1,1,No,,0.22548937797546387,3.152,Loading test
17-03-2020,14:41:29,100000,1,1,No,,0.3282341957092285,3.13936,Loading test
17-03-2020,14:44:26,100000,1,1,No,,0.32700514793395996,3.14344,Loading test
17-03-2020,14:45:13,100000,1,1,No,,0.32811403274536133,3.14624,Loading test
17-03-2020,14:46:00,100000,1,1,No,,0.3269641399383545,3.13572,Loading test
17-03-2020,14:48:49,100000,1,1,No,,0.34421753883361816,3.15112,Loading test
27-05-2020,14:59:18,1000,1,1,No,,0.25310206413269043,3.092,Loading test
27-05-2020,14:59:23,1000,1,1,No,,0.22838854789733887,3.204,Loading test
27-05-2020,14:59:25,1000,1,1,No,,0.22769522666931152,3.164,Loading test
